"Rank","Asset","Threat","Main Vulnerability","Score","Owner","Evidence Status"
"1","MongoDB","Unauthorised database access","Port 27017 open to 0.0.0.0/0 and MongoDB binds to all interfaces","25","Mike","Template evidence found, AWS screenshot needed"
"2","MongoDB","Public database exposure","MongoDB is in PublicSubnet1 and the stack outputs the database public IP","25","Mike / Shared","Template evidence found, AWS screenshot needed"
"3","MongoDB","Weak authentication","No MongoDB user or security.authorization setting is shown","20","Mike","Template evidence found, live test needed"
"4","Web dashboard","Unauthorised dashboard viewing","The webserver is public and the dashboard displays operational/personnel data","20","Pantelis","Template evidence found, screenshot needed"
"5","Data","Personnel data disclosure","Seed data includes names, contacts, roles and clearance levels","20","Pantelis / Mike","Template and seed evidence found"
"6","Network","Weak tier separation","Webserver and MongoDB are both placed in the public tier","20","Shared","Template evidence found, AWS diagram needed"
"7","Web app","Information leakage","PHP errors and database exceptions are shown to users","16","Pantelis","Template evidence found"
"8","MongoDB","Weak recovery after data loss","No backup, snapshot or restore process is shown","15","Mike","Missing evidence, AWS check needed"
"9","Monitoring","Late detection","No clear VPC Flow Logs, CloudWatch alarms or database log collection shown","12","Shared","Missing evidence, AWS check needed"
"10","Optional VDI","Remote desktop exposure","RDP allows 3389 from 0.0.0.0/0 if deployed","16","Shared","Only applies if VDI is used"
